timestamp,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cancelled_write_bytes
2025-04-28 17:54:06,155468138,126841315,52572,53784,0,319488,0
2025-04-28 17:54:07,168408191,139771184,56956,59659,0,348160,0
2025-04-28 17:54:08,187224637,158464232,61811,67293,0,364544,0
2025-04-28 17:54:09,198793511,170094357,65958,72686,0,393216,0
2025-04-28 17:54:10,210680492,182046339,69696,77925,0,417792,0
2025-04-28 17:54:11,230874033,202209448,75245,86355,0,442368,0
2025-04-28 17:54:12,246597858,217971069,80068,93202,0,466944,0
2025-04-28 17:54:13,263151429,234463058,84750,100163,0,520192,0
2025-04-28 17:54:14,281049621,252323531,90016,107836,0,544768,0
2025-04-28 17:54:15,300520375,271748127,95039,115765,0,565248,0
2025-04-28 17:54:16,317130353,288363620,100317,123077,0,598016,0
2025-04-28 17:54:17,336599908,307674007,105201,130906,0,614400,0
2025-04-28 17:54:19,351116073,322189130,109952,137400,0,643072,0
2025-04-28 17:54:20,372329936,343326474,115283,145953,0,659456,0
2025-04-28 17:54:21,389144966,360070249,119718,152849,0,684032,0
2025-04-28 17:54:22,408253710,379078930,124881,160773,0,704512,0
2025-04-28 17:54:23,422445866,393243056,129160,166915,0,733184,0
2025-04-28 17:54:24,438765566,409500255,133866,173838,0,782336,0
2025-04-28 17:54:25,455348267,426096174,138564,180836,0,806912,0
2025-04-28 17:54:26,472524865,443156307,143241,187968,0,827392,0
2025-04-28 17:54:27,485691211,456364830,147429,193777,0,856064,0
2025-04-28 17:54:28,501134243,471667366,151377,200034,0,872448,0
2025-04-28 17:54:29,513350201,483943150,155552,205608,0,929792,0
2025-04-28 17:54:30,531041413,501579543,161207,213403,0,958464,0
2025-04-28 17:54:31,546045224,516581680,166169,220143,0,991232,0
2025-04-28 17:54:32,563811059,534185647,171086,227552,0,1015808,0
2025-04-28 17:54:33,583049210,553344482,176409,235574,0,1040384,0
2025-04-28 17:54:34,600452031,570670989,181155,242772,0,1089536,0
2025-04-28 17:54:35,617000297,587223712,185877,249767,0,1114112,0
2025-04-28 17:54:36,636375787,606505073,190816,257609,0,1134592,0
2025-04-28 17:54:37,658014319,628001450,195988,266154,0,1150976,0
2025-04-28 17:54:38,675710155,645604071,200810,273464,0,1175552,0
2025-04-28 17:54:39,695118226,664884264,205403,281092,0,1212416,0
2025-04-28 17:54:40,712485817,682221368,210338,288437,0,1245184,0
2025-04-28 17:54:41,728510099,698253790,215467,295558,0,1273856,0
2025-04-28 17:54:42,743739198,713460765,220417,302354,0,1306624,0
2025-04-28 17:54:43,759305220,728983960,225525,309345,0,1339392,0
2025-04-28 17:54:44,777356834,746972541,230767,317037,0,1363968,0
2025-04-28 17:54:45,793319383,762874704,234881,323541,0,1380352,0
2025-04-28 17:54:46,808459854,778001543,239463,330111,0,1409024,0
2025-04-28 17:54:47,823137690,792620413,244402,336748,0,1441792,0
2025-04-28 17:54:48,835291249,804837303,248465,342253,0,1466368,0
2025-04-28 17:54:49,848497413,818032513,252148,347780,0,1495040,0
2025-04-28 17:54:50,867708149,837127977,256907,355478,0,1531904,0
2025-04-28 17:54:51,878914205,848361900,260400,360427,0,1552384,0
2025-04-28 17:54:52,891489763,860935814,264438,366007,0,1576960,0
2025-04-28 17:54:53,906037607,875481725,268923,372351,0,1601536,0
2025-04-28 17:54:54,922887765,892275203,273425,379281,0,1622016,0
2025-04-28 17:54:55,938644888,908009050,278464,386271,0,1650688,0
2025-04-28 17:54:56,958804175,928014101,283680,394470,0,1675264,0
